name,wikiLink,inCategory,addToThisList,listLink
Kendra Fisher,https://en.wikipedia.org/wiki/Kendra_Fisher,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Florence Maheu,https://en.wikipedia.org/wiki/Florence_Maheu,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Gigi Gorgeous,https://en.wikipedia.org/wiki/Gigi_Gorgeous,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Lia Grimanis,https://en.wikipedia.org/wiki/Lia_Grimanis,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Annie Guglia,https://en.wikipedia.org/wiki/Annie_Guglia,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Matthew Hall (figure skater),https://en.wikipedia.org/wiki/Matthew_Hall_(figure_skater),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jaclyn Hawkins,https://en.wikipedia.org/wiki/Jaclyn_Hawkins,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
David Johnson (Canadian runner),https://en.wikipedia.org/wiki/David_Johnson_(Canadian_runner),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Lyndon Johnston,https://en.wikipedia.org/wiki/Lyndon_Johnston,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Dustin Kidby,https://en.wikipedia.org/wiki/Dustin_Kidby,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jen Kish,https://en.wikipedia.org/wiki/Jen_Kish,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bobbi Lancaster,https://en.wikipedia.org/wiki/Bobbi_Lancaster,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
