QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q15391946,Lucas Fischer,https://en.wikipedia.org/wiki/Lucas_Fischer,male,,homosexuality,,,
Q18379401,Joel Creasey,https://en.wikipedia.org/wiki/Joel_Creasey,male,,homosexuality,,,
Q27909222,Kimberly Drew,https://en.wikipedia.org/wiki/Kimberly_Drew,female,,homosexuality,,,
Q28840001,Rina Sawayama,https://en.wikipedia.org/wiki/Rina_Sawayama,female,,pansexuality,,,
Q16233211,Todd Harrity,https://en.wikipedia.org/wiki/Todd_Harrity,male,,homosexuality,,,
Q30830393,Emil Rengle,https://en.wikipedia.org/wiki/Emil_Rengle,male,,bisexuality,,,
Q2925780,Brittney Griner,https://en.wikipedia.org/wiki/Brittney_Griner,female,,homosexuality,,,
Q4902495,Bianca Henninger,https://en.wikipedia.org/wiki/Bianca_Henninger,female,,lesbianism,,,
Q19866122,Elise Bauman,https://en.wikipedia.org/wiki/Elise_Bauman,female,,bisexuality,,,
Q107043273,Arryn Zech,https://en.wikipedia.org/wiki/Arryn_Zech,female,,bisexuality,,,
Q229760,Rita Ora,https://en.wikipedia.org/wiki/Rita_Ora,female,,bisexuality,,,
Q1742413,Kira Walkenhorst,https://en.wikipedia.org/wiki/Kira_Walkenhorst,female,,lesbianism,,,
Q2483405,Šárka Pančochová,https://en.wikipedia.org/wiki/Šárka_Pančochová,female,,gay,,,
Q3928569,Rachele Bruni,https://en.wikipedia.org/wiki/Rachele_Bruni,female,,homosexuality,,,
Q4685546,Adrianna Franch,https://en.wikipedia.org/wiki/Adrianna_Franch,female,,non-heterosexuality,,,
Q15020877,Valentina Nappi,https://en.wikipedia.org/wiki/Valentina_Nappi,female,,pansexuality,,,
Q214831,David Archuleta,https://en.wikipedia.org/wiki/David_Archuleta,male,,non-heterosexuality,,,
Q448323,Ramona Bachmann,https://en.wikipedia.org/wiki/Ramona_Bachmann,female,,lesbianism,,,
Q590433,Anton Hysén,https://en.wikipedia.org/wiki/Anton_Hysén,male,,homosexuality,,,
Q60895918,Donna Missal,https://en.wikipedia.org/wiki/Donna_Missal,female,,bisexuality,,,
Q83610427,Suzane,https://en.wikipedia.org/wiki/Suzane,female,,lesbianism,,,
Q87730223,Dana Terrace,https://en.wikipedia.org/wiki/Dana_Terrace,female,,bisexuality,,,
Q101189220,Jessica Benham,https://en.wikipedia.org/wiki/Jessica_Benham,female,,bisexuality,,,
Q101834415,Anthony Bowens,https://en.wikipedia.org/wiki/Anthony_Bowens,male,,homosexuality,,,
Q331282,Tadd Fujikawa,https://en.wikipedia.org/wiki/Tadd_Fujikawa,male,,gay,,,
Q2665604,Javier Calvo,https://en.wikipedia.org/wiki/Javier_Calvo,male,,homosexuality,,,
Q28967605,Rikki Poynter,https://en.wikipedia.org/wiki/Rikki_Poynter,female,,bisexuality,,,
Q90139818,Arnold Vargas,https://en.wikipedia.org/wiki/Arnold_Vargas,male,,non-heterosexuality,,,
Q108663405,Annefleur Schipper,https://en.wikipedia.org/wiki/Annefleur_Schipper,female,,lesbianism,,,
Q28086261,Lauren Duca,https://en.wikipedia.org/wiki/Lauren_Duca,female,,non-heterosexuality,,,
Q47464949,Yuto Sakai,https://en.wikipedia.org/wiki/Yuto_Sakai,male,,gay,,,
